Airline,Date_ofJourney,Source,Destination,dept_time,duration,arrival_time,stopsRoute,price
Go First,03-11-2021,Mumbai,Bengaluru,14:50,06 h 35 m ,21:25,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,14:50,06 h 35 m ,21:25,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,13:20,08 h 05 m ,21:25,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,09:55,11 h 30 m ,21:25,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,08:00,13 h 25 m ,21:25,1 stop via New Delhi,5100
AirAsia,03-11-2021,Mumbai,Bengaluru,14:55,09 h 10 m ,00:05,1 stop via Kochi,5100
Go First,03-11-2021,Mumbai,Bengaluru,23:45,08 h 55 m ,08:40,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,22:40,10 h ,08:40,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,21:15,11 h 25 m ,08:40,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,18:00,14 h 40 m ,08:40,1 stop via New Delhi,5100
Go First,03-11-2021,Mumbai,Bengaluru,06:05,01 h 35 m ,07:40,Non stop,5102
Go First,03-11-2021,Mumbai,Bengaluru,14:35,01 h 35 m ,16:10,Non stop,5102
Go First,03-11-2021,Mumbai,Bengaluru,22:35,01 h 45 m ,00:20,Non stop,5102
Go First,03-11-2021,Mumbai,Bengaluru,22:50,01 h 45 m ,00:35,Non stop,5102
Go First,03-11-2021,Mumbai,Bengaluru,11:30,03 h 40 m ,15:10,1 stop via Goa,5102
IndiGo,03-11-2021,Mumbai,Bengaluru,01:15,01 h 35 m ,02:50,Non stop,5103
IndiGo,03-11-2021,Mumbai,Bengaluru,04:50,01 h 50 m ,06:40,Non stop,5103
Air India,03-11-2021,Mumbai,Bengaluru,06:10,01 h 45 m ,07:55,Non stop,5103
IndiGo,03-11-2021,Mumbai,Bengaluru,06:55,01 h 35 m ,08:30,Non stop,5103
IndiGo,03-11-2021,Mumbai,Bengaluru,08:30,01 h 35 m ,10:05,Non stop,5103
Air India,03-11-2021,Mumbai,Bengaluru,09:30,01 h 40 m ,11:10,Non stop,5103
IndiGo,03-11-2021,Mumbai,Bengaluru,09:30,01 h 50 m ,11:20,Non stop,5103
Air India,03-11-2021,Mumbai,Bengaluru,16:45,01 h 45 m ,18:30,Non stop,5103
IndiGo,03-11-2021,Mumbai,Bengaluru,22:15,01 h 50 m ,00:05,Non stop,5103
Vistara,03-11-2021,Mumbai,Bengaluru,06:00,01 h 50 m ,07:50,Non stop,5104
Vistara,03-11-2021,Mumbai,Bengaluru,07:00,01 h 50 m ,08:50,Non stop,5104
AirAsia,03-11-2021,Mumbai,Bengaluru,13:05,01 h 40 m ,14:45,Non stop,5104
IndiGo,03-11-2021,Mumbai,Bengaluru,07:45,01 h 40 m ,09:25,Non stop,5208
Vistara,03-11-2021,Mumbai,Bengaluru,17:30,01 h 45 m ,19:15,Non stop,5209
IndiGo,03-11-2021,Mumbai,Bengaluru,14:20,01 h 45 m ,16:05,Non stop,5313
IndiGo,03-11-2021,Mumbai,Bengaluru,17:10,01 h 45 m ,18:55,Non stop,5313
IndiGo,03-11-2021,Mumbai,Bengaluru,20:30,01 h 45 m ,22:15,Non stop,5313
Vistara,03-11-2021,Mumbai,Bengaluru,09:05,01 h 40 m ,10:45,Non stop,5681
Vistara,03-11-2021,Mumbai,Bengaluru,21:00,01 h 50 m ,22:50,Non stop,5681
AirAsia,03-11-2021,Mumbai,Bengaluru,02:35,01 h 40 m ,04:15,Non stop,5707
Vistara,03-11-2021,Mumbai,Bengaluru,16:00,01 h 45 m ,17:45,Non stop,5996
Vistara,03-11-2021,Mumbai,Bengaluru,19:10,01 h 45 m ,20:55,Non stop,6521
Spicejet,03-11-2021,Mumbai,Bengaluru,15:30,17 h 30 m ,09:00,1 stop via Goa,7103
Spicejet,03-11-2021,Mumbai,Bengaluru,15:30,17 h 30 m ,09:00,1 stop via Goa,7103
IndiGo,03-11-2021,Mumbai,Bengaluru,15:15,06 h 20 m ,21:35,1 stop via Hubli,8096
IndiGo,03-11-2021,Mumbai,Bengaluru,06:15,04 h 30 m ,10:45,1 stop via Hyderabad,8358
IndiGo,03-11-2021,Mumbai,Bengaluru,07:15,06 h 55 m ,14:10,1 stop via Chennai,8883
IndiGo,03-11-2021,Mumbai,Bengaluru,10:30,05 h 10 m ,15:40,1 stop via Chennai,8883
IndiGo,03-11-2021,Mumbai,Bengaluru,16:25,05 h 35 m ,22:00,1 stop via Chennai,8883
IndiGo,03-11-2021,Mumbai,Bengaluru,15:15,06 h 45 m ,22:00,1 stop via Chennai,8883
IndiGo,03-11-2021,Mumbai,Bengaluru,23:05,07 h 20 m ,06:25,1 stop via Chennai,8883
IndiGo,03-11-2021,Mumbai,Bengaluru,05:40,03 h 35 m ,09:15,1 stop via Goa,9041
IndiGo,03-11-2021,Mumbai,Bengaluru,04:35,05 h 30 m ,10:05,1 stop via Chennai,9198
IndiGo,03-11-2021,Mumbai,Bengaluru,18:30,04 h 20 m ,22:50,1 stop via Hyderabad,9671
Go First,03-11-2021,Mumbai,Bengaluru,19:15,04 h 25 m ,23:40,1 stop via Ahmedabad,9697
IndiGo,03-11-2021,Mumbai,Bengaluru,12:45,05 h 25 m ,18:10,1 stop via Hyderabad,9933
IndiGo,03-11-2021,Mumbai,Bengaluru,16:55,06 h 10 m ,23:05,1 stop via Goa,9986
Go First,03-11-2021,Mumbai,Kolkata,19:30,14 h 05 m ,09:35,1 stop via Lucknow,7412
Go First,03-11-2021,Mumbai,Kolkata,19:30,14 h 05 m ,09:35,1 stop via Lucknow,7412
Spicejet,03-11-2021,Mumbai,Kolkata,13:15,26 h 40 m ,15:55,1 stop via Darbhanga,7412
